,Date,schedule_season,schedule_week,team_home,team_away,stadium,team_favorite_id,spread_favorite,over_under_line,weather_temperature,weather_wind_mph,weather_humidity,score_home,score_away,schedule_playoff,elo1,elo2,elo_prob1,neutral,month_x,snow,rain,fog,result,home_favorite,away_favorite,over_under,home_avg_pts_diff,away_avg_pts_diff,home_roll_pts_diff,away_roll_pts_diff,home_rest,away_rest,div_game,home_after_div,away_after_div,Week,Open,Close,fav,home,away,month_y,dog,move,fav_dup,dog_dup,home_favorite_dup,away_favorite_dup,home_win_streak,home_loss_streak,away_win_streak,away_loss_streak,home_cover_streak,home_no_cov_streak,away_cover_streak,away_no_cov_streak
0,2007-09-06,2007,1,IND,NO,RCA Dome,IND,-5.5,53.5,72.0,0.0,40.0,41.0,10.0,0,1653.9229999999998,1515.973,0.762832912,0.0,9,0,0,0,1,1.0,0.0,0.0,5.35,3.8333333333333335,5.35,3.8333333333333335,100 days 00:00:00.000000000,100 days 00:00:00.000000000,0,0,0,1,-5.5,-5.5,IND,IND,NO,9,NO,0.0,IND,NO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2007-09-09,2007,1,BUF,DEN,Ralph Wilson Stadium,DEN,-3.0,37.0,67.0,9.0,80.0,14.0,15.0,0,1516.684,1558.5739999999998,0.533209002,0.0,9,0,0,0,0,0.0,1.0,0.0,-0.6875,0.875,-0.6875,0.875,100 days 00:00:00.000000000,100 days 00:00:00.000000000,0,0,0,1,-3.0,-3.0,DEN,BUF,DEN,9,BUF,0.0,DEN,BUF,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2007-09-09,2007,1,CLE,PIT,FirstEnergy Stadium,PIT,-4.5,36.5,71.0,8.0,83.0,7.0,34.0,0,1396.5629999999999,1568.569,0.350697188,0.0,9,0,0,0,0,0.0,1.0,1.0,-7.375,2.375,-7.375,2.375,100 days 00:00:00.000000000,100 days 00:00:00.000000000,1,0,0,1,-4.5,-5.0,PIT,CLE,PIT,9,CLE,-0.5,PIT,CLE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2007-09-09,2007,1,DAL,NYG,Texas Stadium,DAL,-6.5,44.5,85.0,10.0,66.0,45.0,35.0,0,1490.892,1494.06,0.588055719,0.0,9,0,0,0,1,1.0,0.0,1.0,4.352941176470588,-0.5882352941176471,4.352941176470588,-0.5882352941176471,100 days 00:00:00.000000000,100 days 00:00:00.000000000,1,0,0,1,-4.0,-6.5,DAL,DAL,NYG,9,NYG,-2.5,DAL,NYG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2007-09-09,2007,1,GB,PHI,Lambeau Field,PHI,-3.0,42.5,63.0,8.0,78.0,16.0,13.0,0,1497.0510000000002,1542.727,0.5277808310000001,0.0,9,0,0,0,1,0.0,1.0,0.0,-4.0625,3.888888888888889,-4.0625,3.888888888888889,100 days 00:00:00.000000000,100 days 00:00:00.000000000,0,0,0,1,-3.0,-3.0,PHI,GB,PHI,9,GB,0.0,PHI,GB,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2007-09-09,2007,1,HOU,KC,Reliant Stadium,HOU,-3.0,38.0,72.0,0.0,40.0,20.0,3.0,0,1433.9470000000001,1539.589,0.441776787,0.0,9,0,0,0,1,1.0,0.0,0.0,-6.1875,0.058823529411764705,-6.1875,0.058823529411764705,100 days 00:00:00.000000000,100 days 00:00:00.000000000,0,0,0,1,0.0,-3.0,HOU,HOU,KC,9,KC,-3.0,PICK,PICK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2007-09-09,2007,1,JAX,TEN,EverBank Field,JAX,-7.0,38.0,80.0,7.0,67.0,10.0,13.0,0,1544.671,1494.6779999999999,0.659698948,0.0,9,0,0,0,0,1.0,0.0,0.0,6.0625,-4.75,6.0625,-4.75,100 days 00:00:00.000000000,100 days 00:00:00.000000000,1,0,0,1,-6.5,-7.5,JAX,JAX,TEN,9,TEN,-1.0,JAX,TEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2007-09-09,2007,1,MIN,ATL,Hubert H. Humphrey Metrodome,MIN,-3.0,35.5,72.0,0.0,40.0,24.0,3.0,0,1436.774,1448.286,0.5763730020000001,0.0,9,0,0,0,1,1.0,0.0,0.0,-2.8125,-2.25,-2.8125,-2.25,100 days 00:00:00.000000000,100 days 00:00:00.000000000,0,0,0,1,-2.5,-3.0,MIN,MIN,ATL,9,ATL,-0.5,MIN,ATL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2007-09-09,2007,1,NYJ,NE,Giants Stadium,NE,-6.5,41.0,79.0,11.0,60.0,14.0,38.0,0,1514.095,1633.017,0.42301711,0.0,9,0,0,0,0,0.0,1.0,1.0,0.0,8.842105263157896,0.0,8.842105263157896,100 days 00:00:00.000000000,100 days 00:00:00.000000000,1,0,0,1,-6.5,-6.0,NE,NYJ,NE,9,NYJ,0.5,NE,NYJ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2007-09-09,2007,1,OAK,DET,Oakland Coliseum,OAK,-2.5,39.5,62.0,12.0,76.0,21.0,36.0,0,1350.91,1388.019,0.540052375,0.0,9,0,0,0,0,1.0,0.0,1.0,-10.25,-5.8125,-10.25,-5.8125,100 days 00:00:00.000000000,100 days 00:00:00.000000000,0,0,0,1,-2.5,-2.5,OAK,OAK,DET,9,DET,0.0,OAK,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
